location_id,zone,borough,lat,lon
1,Newark Airport,EWR,40.690244,-74.174271
2,Jamaica Bay,Queens,40.612165,-73.817644
3,Allerton/Pelham Gardens,Bronx,40.864295,-73.84651
4,Alphabet City,Manhattan,40.723853,-73.975209
5,Arden Heights,Staten Island,40.556678,-74.189803
6,Arrochar/Fort Wadsworth,Staten Island,40.601118,-74.071747
7,Astoria,Queens,40.761434,-73.919365
8,Astoria Park,Queens,40.778077,-73.923396
9,Auburndale,Queens,40.750303,-73.790189
10,Baisley Park,Queens,40.677931,-73.790318
11,Bath Beach,Brooklyn,40.602692,-74.009023
12,Battery Park,Manhattan,40.702091,-74.015477
13,Battery Park City,Manhattan,40.709419,-74.017326
14,Bay Ridge,Brooklyn,40.625196,-74.029246
15,Bay Terrace/Fort Totten,Queens,40.790995,-73.778606
16,Bayside,Queens,40.762812,-73.767972
17,Bedford,Brooklyn,40.692399,-73.950316
18,Bedford Park,Bronx,40.868877,-73.889387
19,Bellerose,Queens,40.734682,-73.72887
20,Belmont,Bronx,40.858941,-73.885366
21,Bensonhurst East,Brooklyn,40.596886,-73.990441
22,Bensonhurst West,Brooklyn,40.608806,-73.995799
23,Bloomfield/Emerson Hill,Staten Island,40.604627,-74.190512
24,Bloomingdale,Manhattan,40.802947,-73.967739
25,Boerum Hill,Brooklyn,40.686588,-73.985929
26,Borough Park,Brooklyn,40.630738,-73.987951
27,Breezy Point/Fort Tilden/Riis Beach,Queens,40.561299,-73.89082
28,Briarwood/Jamaica Hills,Queens,40.712314,-73.806984
29,Brighton Beach,Brooklyn,40.579934,-73.960507
30,Broad Channel,Queens,40.602882,-73.822896
31,Bronx Park,Bronx,40.860311,-73.875124
32,Bronxdale,Bronx,40.862116,-73.865415
33,Brooklyn Heights,Brooklyn,40.696964,-73.995501
34,Brooklyn Navy Yard,Brooklyn,40.702702,-73.974176
35,Brownsville,Brooklyn,40.663991,-73.910329
36,Bushwick North,Brooklyn,40.69926,-73.916834
37,Bushwick South,Brooklyn,40.695465,-73.923919
38,Cambria Heights,Queens,40.695105,-73.73553
39,Canarsie,Brooklyn,40.642482,-73.891706
40,Carroll Gardens,Brooklyn,40.6779,-73.996626
41,Central Harlem,Manhattan,40.803356,-73.950573
42,Central Harlem North,Manhattan,40.826385,-73.937075
43,Central Park,Manhattan,40.781507,-73.966499
44,Charleston/Tottenville,Staten Island,40.52994,-74.23735
45,Chinatown,Manhattan,40.711568,-73.998049
46,City Island,Bronx,40.850268,-73.785851
47,Claremont/Bathgate,Bronx,40.843214,-73.900472
48,Clinton East,Manhattan,40.761398,-73.990744
49,Clinton Hill,Brooklyn,40.690255,-73.961382
50,Clinton West,Manhattan,40.767838,-73.997474
51,Co-Op City,Bronx,40.875532,-73.83037
52,Cobble Hill,Brooklyn,40.68652,-73.99624
53,College Point,Queens,40.78324,-73.851061
54,Columbia Street,Brooklyn,40.687492,-74.003751
55,Coney Island,Brooklyn,40.575391,-73.987968
56,Corona,Queens,40.740792,-73.856608
57,Corona,Queens,40.752093,-73.85333
58,Country Club,Bronx,40.843988,-73.815215
59,Crotona Park,Bronx,40.837955,-73.895051
60,Crotona Park East,Bronx,40.835268,-73.883431
61,Crown Heights North,Brooklyn,40.675124,-73.935579
62,Crown Heights South,Brooklyn,40.666217,-73.946329
63,Cypress Hills,Brooklyn,40.680952,-73.884573
64,Douglaston,Queens,40.762636,-73.748633
65,Downtown Brooklyn/MetroTech,Brooklyn,40.695871,-73.985238
66,DUMBO/Vinegar Hill,Brooklyn,40.703133,-73.987687
67,Dyker Heights,Brooklyn,40.617434,-74.015043
68,East Chelsea,Manhattan,40.748251,-74.000554
69,East Concourse/Concourse Village,Bronx,40.830583,-73.915132
70,East Elmhurst,Queens,40.763274,-73.865871
71,East Flatbush/Farragut,Brooklyn,40.64276,-73.935957
72,East Flatbush/Remsen Village,Brooklyn,40.652594,-73.921482
73,East Flushing,Queens,40.752945,-73.807169
74,East Harlem North,Manhattan,40.804589,-73.934012
75,East Harlem South,Manhattan,40.788256,-73.941879
76,East New York,Brooklyn,40.654821,-73.875537
77,East New York/Pennsylvania Avenue,Brooklyn,40.667111,-73.894884
78,East Tremont,Bronx,40.843783,-73.881202
79,East Village,Manhattan,40.726759,-73.986487
80,East Williamsburg,Brooklyn,40.715051,-73.930822
81,Eastchester,Bronx,40.881657,-73.831025
82,Elmhurst,Queens,40.737206,-73.87952
83,Elmhurst/Maspeth,Queens,40.737892,-73.892881
84,Eltingville/Annadale/Prince's Bay,Staten Island,40.520526,-74.192551
85,Erasmus,Brooklyn,40.645797,-73.951888
86,Far Rockaway,Queens,40.602718,-73.757557
87,Financial District North,Manhattan,40.704632,-74.00555
88,Financial District South,Manhattan,40.701273,-74.011811
89,Flatbush/Ditmas Park,Brooklyn,40.636982,-73.962099
90,Flatiron,Manhattan,40.742189,-73.996789
91,Flatlands,Brooklyn,40.628121,-73.929379
92,Flushing,Queens,40.760281,-73.827662
93,Flushing Meadows-Corona Park,Queens,40.74752,-73.845893
94,Fordham South,Bronx,40.858689,-73.898926
95,Forest Hills,Queens,40.721279,-73.844788
96,Forest Park/Highland Park,Queens,40.699807,-73.864212
97,Fort Greene,Brooklyn,40.691577,-73.977612
98,Fresh Meadows,Queens,40.731966,-73.774901
99,Freshkills Park,Staten Island,40.568229,-74.203182
100,Garment District,Manhattan,40.753386,-73.988716
101,Glen Oaks,Queens,40.746497,-73.715607
102,Glendale,Queens,40.701803,-73.877066
103,Governor's Island/Ellis Island/Liberty Island,Manhattan,40.690331,-74.045772
104,Governor's Island/Ellis Island/Liberty Island,Manhattan,40.699489,-74.040585
105,Governor's Island/Ellis Island/Liberty Island,Manhattan,40.690011,-74.016959
106,Gowanus,Brooklyn,40.673823,-73.991874
107,Gramercy,Manhattan,40.736706,-73.984269
108,Gravesend,Brooklyn,40.586563,-73.988621
109,Great Kills,Staten Island,40.543051,-74.143517
110,Great Kills Park,Staten Island,40.540366,-74.129981
111,Green-Wood Cemetery,Brooklyn,40.653079,-73.990663
112,Greenpoint,Brooklyn,40.734392,-73.950516
113,Greenwich Village North,Manhattan,40.731907,-73.994202
114,Greenwich Village South,Manhattan,40.727635,-73.996964
115,Grymes Hill/Clifton,Staten Island,40.618922,-74.084474
116,Hamilton Heights,Manhattan,40.82792,-73.950727
117,Hammels/Arverne,Queens,40.596829,-73.791317
118,Heartland Village/Todt Hill,Staten Island,40.588551,-74.128432
119,Highbridge,Bronx,40.837938,-73.926264
